summary,projectName,description,acceptanceCriteria,storyId,parentSummary,statusCategory,priority,risk,createdDate,lastModifiedDate
Reports Admin Reports Discount,Health Care,"As a user, I want to reports admin reports discount so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-55,Laboratory Management,Done,P1,Critical,07-01-2022,26-12-2023
Lab Radiology Days Tat,Health Care,"As a user, I want to lab radiology days tat so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-223,OP-Wards,To Do,P4,Low,17-06-2023,22-06-2023
Dashboards Common Recovery Room,Health Care,"As a user, I want to dashboards common recovery room so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-217,AT(Admission Module),Done,P1,Critical,12-01-2022,29-12-2023
Dashboards Common Scrubnurse Technician,Health Care,"As a user, I want to dashboards common scrubnurse technician so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-198,Emergency Management,To Do,P1,High,10-01-2022,14-12-2023
Role Resource Item Consultant,Health Care,"As a user, I want to role resource item consultant so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-210,OP-Wards,Done,P2,Critical,02-01-2022,28-12-2023
Role Resource Item Genetics,Health Care,"As a user, I want to role resource item genetics so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-252,AT(Admission Module),To Do,P4,Low,27-05-2023,08-12-2023
Role Resource Item Histopathology,Health Care,"As a user, I want to role resource item histopathology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-203,Blood Bank Management,Done,P1,Critical,05-04-2022,29-12-2023
Role Resource Item Mm,Health Care,"As a user, I want to role resource item mm so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-56,IP Digital,Done,P4,Low,05-04-2023,15-10-2023
Mastersetup Map Machine Visit,Health Care,"As a user, I want to mastersetup map machine visit so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-134,Digital OP Management,Done,P4,Critical,25-01-2022,04-12-2023
Bed Booking View Reservation,Health Care,"As a user, I want to bed booking view reservation so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-78,Dynamic Forms Management,Done,P4,Low,21-10-2023,28-02-2023
Blood Donation Blood Collection,Health Care,"As a user, I want to blood donation blood collection so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-129,Ward - Nursing,To Do,P3,Critical,05-09-2022,28-12-2023
Blood Donation Component Preparation,Health Care,"As a user, I want to blood donation component preparation so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-219,Blood Bank Management,In Progress,P1,Critical,13-01-2022,29-12-2023
View Consolidated View Of,Health Care,"As a user, I want to view consolidated view of so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-221,Blood Bank Management,To Do,P2,Critical,14-01-2022,29-12-2023
Daycare Nurse Activities Surgical,Health Care,"As a user, I want to daycare nurse activities surgical so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-286,Digital dietician Management,In Progress,P3,Critical,05-03-2022,16-12-2023
Search Search With Group,Health Care,"As a user, I want to search search with group so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-270,ES(Appointment),To Do,P1,Critical,10-01-2022,31-12-2023
Emergency Masters Conditions Master,Health Care,"As a user, I want to emergency masters conditions master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-284,AT(Admission Module),To Do,P1,Critical,12-01-2022,31-12-2023
View Request Status Blood,Health Care,"As a user, I want to view request status blood so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-243,ES(Appointment),Done,P2,Critical,14-01-2022,07-12-2023
View Request Status Other,Health Care,"As a user, I want to view request status other so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-145,IP Digital,In Progress,P1,Critical,08-01-2022,28-12-2023
General Masters Holidays Master,Health Care,"As a user, I want to general masters holidays master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-265,ES(Appointment),In Progress,P2,Critical,04-01-2022,31-12-2023
Reports Mis Reports Manpower,Health Care,"As a user, I want to reports mis reports manpower so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-86,Dynamic Forms Management,Done,P4,Low,27-06-2022,26-12-2023
Masters Service Definitions Service,Health Care,"As a user, I want to masters service definitions service so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-231,Wards - Doctors Management,To Do,P2,Critical,04-01-2022,31-12-2023
Reports View Reports Deposit,Health Care,"As a user, I want to reports view reports deposit so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-282,OP Billing Management,In Progress,P1,Critical,07-01-2022,31-12-2023
Dashboards Common Floornurse Preop,Health Care,"As a user, I want to dashboards common floornurse preop so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-283,Blood Bank Management,Done,P2,Low,28-02-2022,10-08-2023
Masters Anesthesia Master Anesthesia,Health Care,"As a user, I want to masters anesthesia master anesthesia so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-275,Laboratory Management,To Do,P1,Critical,06-01-2022,23-12-2023
Radiology Transactions Status Dashboard,Health Care,"As a user, I want to radiology transactions status dashboard so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-104,Wards - Doctors Management,In Progress,P1,Critical,02-01-2022,31-12-2023
Nurse Activities Surgical Pre,Health Care,"As a user, I want to nurse activities surgical pre so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-59,OP-Wards,Done,P4,Low,14-09-2023,27-05-2022
Wards Dashboard Death Summary,Health Care,"As a user, I want to wards dashboard death summary so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-255,Wards - Doctors Management,Done,P1,Critical,25-02-2022,28-12-2023
Role Resource Item Haematology,Health Care,"As a user, I want to role resource item haematology so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-139,AT(Admission Module),To Do,P4,Low,02-10-2023,05-04-2022
Role Resource Item Jr,Health Care,"As a user, I want to role resource item jr so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-254,Registration Management,In Progress,P1,Critical,02-02-2022,18-12-2023
Role Resource Item Registration,Health Care,"As a user, I want to role resource item registration so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-230,Laboratory Management,To Do,P1,Critical,02-02-2022,18-12-2023
Masters Presentknownillness System Symptom,Health Care,"As a user, I want to masters presentknownillness system symptom so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-232,ES(Appointment),In Progress,P4,Critical,29-01-2022,30-12-2023
Search Transfers,Health Care,"As a user, I want to search transfers so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-262,Registration Management,Done,P1,Low,10-06-2023,19-08-2023
Blood Donation Apheresis Procedure,Health Care,"As a user, I want to blood donation apheresis procedure so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-214,Digital dietician Management,In Progress,P3,Critical,13-01-2022,26-11-2023
Consultant Dashboard Tickler List,Health Care,"As a user, I want to consultant dashboard tickler list so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-114,Emergency Management,To Do,P4,Low,26-09-2022,17-05-2023
Daycare Nurse Activities Drug,Health Care,"As a user, I want to daycare nurse activities drug so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-88,Emergency Management,In Progress,P1,Critical,20-02-2022,03-11-2023
Pat Approval View Prescription,Health Care,"As a user, I want to pat approval view prescription so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-184,Digital OP Management,To Do,P2,Low,28-11-2022,05-10-2023
Transactions View Request Perform,Health Care,"As a user, I want to transactions view request perform so that the related functionality works as expected.","Given a form is required, when the user fills and submits it, then the system should validate inputs and store them successfully.",HC-209,Dynamic Forms Management,In Progress,P1,Critical,22-01-2022,27-12-2023
Active Directory Search In,Health Care,"As a user, I want to active directory search in so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-202,Dynamic Forms Management,In Progress,P3,Low,27-01-2022,31-12-2023
Employee Profile Employee Search,Health Care,"As a user, I want to employee profile employee search so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-121,AT(Admission Module),Done,P1,Critical,16-01-2022,29-12-2023
Employee Structure Employee Structure,Health Care,"As a user, I want to employee structure employee structure so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-174,ES(Appointment),To Do,P3,Critical,19-08-2023,31-12-2023
Reports Summary Reports Joint,Health Care,"As a user, I want to reports summary reports joint so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-242,Emergency Management,Done,P4,Low,16-06-2023,25-12-2023
Radiology Masters Service Parameter,Health Care,"As a user, I want to radiology masters service parameter so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-101,AT(Admission Module),To Do,P1,Critical,03-01-2022,31-12-2023
Laboratory Bb Lab Technician,Health Care,"As a user, I want to laboratory bb lab technician so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-293,IP Digital,Done,P4,Low,01-07-2022,05-07-2022
Laboratory Biochemistry Lab Technician,Health Care,"As a user, I want to laboratory biochemistry lab technician so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-138,ES(Appointment),Done,P2,Critical,18-03-2022,22-09-2023
Laboratory Haematology Lab Technician,Health Care,"As a user, I want to laboratory haematology lab technician so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-240,Laboratory Management,Done,P2,Critical,17-03-2022,27-12-2023
Mm Mm Crs Store,Health Care,"As a user, I want to mm mm crs store so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-227,IP Digital,Done,P4,Low,25-11-2022,24-09-2022
Pharmacy Pharmacy Crs Store,Health Care,"As a user, I want to pharmacy pharmacy crs store so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-81,Registration Management,Done,P4,Low,30-07-2023,05-10-2023
Role Resource Item Ip,Health Care,"As a user, I want to role resource item ip so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-296,Laboratory Management,To Do,P4,Low,11-05-2023,19-05-2022
Role Resource Item Sr,Health Care,"As a user, I want to role resource item sr so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-177,Digital dietician Management,To Do,P4,Low,08-06-2022,08-08-2023
Masters History System Htsystemsymptom,Health Care,"As a user, I want to masters history system htsystemsymptom so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-288,Laboratory Management,In Progress,P2,Critical,27-01-2022,30-12-2023
Masters Physical System Parameter,Health Care,"As a user, I want to masters physical system parameter so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-190,Registration Management,To Do,P4,Critical,04-07-2022,27-12-2023
Masters Physical System Physical,Health Care,"As a user, I want to masters physical system physical so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-66,Dynamic Forms Management,In Progress,P4,Critical,25-01-2023,03-12-2023
Masters Systems Symptom Attribute,Health Care,"As a user, I want to masters systems symptom attribute so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-271,Laboratory Management,Done,P4,Critical,26-09-2022,27-11-2023
Others Status Of Ahc,Health Care,"As a user, I want to others status of ahc so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-91,Wards - Doctors Management,In Progress,P3,Low,09-04-2022,17-07-2023
Master Service Parameter Master,Health Care,"As a user, I want to master service parameter master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-146,Wards - Doctors Management,In Progress,P1,Critical,15-02-2022,29-12-2023
Master Therapeutic Parameter Master,Health Care,"As a user, I want to master therapeutic parameter master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-93,Registration Management,In Progress,P4,Low,15-04-2022,06-02-2023
Master Unit Master Unit,Health Care,"As a user, I want to master unit master unit so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-148,Blood Bank Management,To Do,P3,Critical,19-01-2022,31-12-2023
Others Op Request Screen,Health Care,"As a user, I want to others op request screen so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-290,Blood Bank Management,To Do,P2,Critical,30-01-2022,31-12-2023
Subcenters Receive Blood Bags,Health Care,"As a user, I want to subcenters receive blood bags so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-71,AT(Admission Module),Done,P3,Critical,24-09-2022,11-11-2023
Subcenters Transfer Blood Bags,Health Care,"As a user, I want to subcenters transfer blood bags so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-79,Wards - Doctors Management,In Progress,P3,Critical,16-02-2022,29-12-2023
Consult Able To View,Health Care,"As a user, I want to consult able to view so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-234,Ward - Nursing,To Do,P1,Critical,10-01-2022,30-12-2023
Consultant Dashboard Misc Package,Health Care,"As a user, I want to consultant dashboard misc package so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-196,Blood Bank Management,Done,P2,Medium,06-01-2022,24-12-2023
Consultant Dashboard Progress Note,Health Care,"As a user, I want to consultant dashboard progress note so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-142,Wards - Doctors Management,In Progress,P1,Critical,15-01-2022,30-12-2023
Daycare Dashboard Generate Label,Health Care,"As a user, I want to daycare dashboard generate label so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-74,Dynamic Forms Management,To Do,P2,Low,08-04-2022,01-11-2023
Daycare Dashboard Rejected Prescription,Health Care,"As a user, I want to daycare dashboard rejected prescription so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-180,Dynamic Forms Management,In Progress,P2,Critical,13-04-2022,03-12-2023
Daycare Dashboard Todo Patient,Health Care,"As a user, I want to daycare dashboard todo patient so that the related functionality works as expected.","Given a user with valid access, when they open the dashboard, then relevant data and visualizations should be displayed correctly without delay.",HC-158,Dynamic Forms Management,In Progress,P2,Low,13-10-2022,15-12-2023
Daycare Nurse Activities Transfer,Health Care,"As a user, I want to daycare nurse activities transfer so that the related functionality works as expected.","Given a nurse user, when they access ward management features, then they should be able to perform and track patient-related activities seamlessly.",HC-82,Dynamic Forms Management,Done,P4,Critical,21-04-2022,11-11-2023
Approval Approvals Approved Status,Health Care,"As a user, I want to approval approvals approved status so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-164,Emergency Management,In Progress,P4,Low,02-08-2023,03-11-2023
Grid Parameter Grid View,Health Care,"As a user, I want to grid parameter grid view so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-54,Ward - Nursing,Done,P4,Low,30-01-2022,30-11-2022
View Request Status Cssd,Health Care,"As a user, I want to view request status cssd so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-63,Registration Management,Done,P3,Low,31-01-2022,11-12-2022
View Request Status Equipment,Health Care,"As a user, I want to view request status equipment so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-237,Digital OP Management,In Progress,P2,Low,17-01-2022,17-11-2023
View Request Status Pharmacy,Health Care,"As a user, I want to view request status pharmacy so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-246,OP-Wards,In Progress,P2,Low,24-01-2022,29-12-2023
View Request Status Rehabilitation,Health Care,"As a user, I want to view request status rehabilitation so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-205,Emergency Management,To Do,P1,Critical,10-05-2023,28-12-2023
Duty Roster Counter Master,Health Care,"As a user, I want to duty roster counter master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-111,ES(Appointment),To Do,P1,Critical,18-04-2022,18-11-2023
Employee Profile Employee Medical,Health Care,"As a user, I want to employee profile employee medical so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-147,ES(Appointment),To Do,P4,Critical,13-03-2022,26-12-2023
General Masters Certification Master,Health Care,"As a user, I want to general masters certification master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-253,IP Digital,To Do,P3,Critical,19-06-2022,21-12-2023
General Masters Insurancetype Master,Health Care,"As a user, I want to general masters insurancetype master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-136,Dynamic Forms Management,In Progress,P3,Critical,10-02-2022,31-12-2023
General Masters Occupation Master,Health Care,"As a user, I want to general masters occupation master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-258,Ward - Nursing,In Progress,P3,Critical,29-07-2022,21-10-2023
General Masters Qualification Master,Health Care,"As a user, I want to general masters qualification master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-245,Registration Management,Done,P1,Critical,31-01-2022,28-12-2023
General Masters Tax Master,Health Care,"As a user, I want to general masters tax master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-165,Emergency Management,In Progress,P4,Low,30-08-2022,21-07-2023
General Masters University Master,Health Care,"As a user, I want to general masters university master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-281,ES(Appointment),To Do,P3,Critical,11-01-2022,06-11-2023
General Masters Vaccination Master,Health Care,"As a user, I want to general masters vaccination master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-199,ES(Appointment),In Progress,P3,Critical,03-06-2022,05-10-2023
Mapping Masters Department Master,Health Care,"As a user, I want to mapping masters department master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-143,ES(Appointment),In Progress,P2,Critical,06-01-2022,26-12-2023
Mapping Masters Location Master,Health Care,"As a user, I want to mapping masters location master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-99,OP-Wards,In Progress,P1,Critical,03-01-2022,26-12-2023
Mapping Masters Parent Location,Health Care,"As a user, I want to mapping masters parent location so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-60,AT(Admission Module),To Do,P1,Critical,03-01-2022,25-12-2023
Mapping Masters Room Master,Health Care,"As a user, I want to mapping masters room master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-61,Registration Management,Done,P1,Critical,31-01-2022,14-11-2023
Mapping Masters Speciality Master,Health Care,"As a user, I want to mapping masters speciality master so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-171,Wards - Doctors Management,To Do,P3,Critical,04-01-2022,26-12-2023
Billing Execution Bill View,Health Care,"As a user, I want to billing execution bill view so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-261,OP-Wards,To Do,P1,Critical,05-01-2022,31-12-2023
Billing Execution View Ip,Health Care,"As a user, I want to billing execution view ip so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-212,AT(Admission Module),In Progress,P1,Critical,17-01-2022,28-11-2023
Masters Others Location Setup,Health Care,"As a user, I want to masters others location setup so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-62,Laboratory Management,To Do,P1,Critical,04-01-2022,27-12-2023
Reports Admin Reports Debtors,Health Care,"As a user, I want to reports admin reports debtors so that the related functionality works as expected.","Given reports exist in the system, when a user views or generates a report, then the report should display accurate and up-to-date information.",HC-140,AT(Admission Module),Done,P1,Critical,13-02-2022,06-07-2022
Drug Monitoring,Health Care,"As a user, I want to drug monitoring so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-105,Registration Management,To Do,P4,Low,23-10-2023,20-04-2023
Notes,Health Care,"As a user, I want to notes so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-251,ES(Appointment),Done,P4,Low,13-08-2022,15-06-2022
Admission Transfer Hr Daily,Health Care,"As a user, I want to admission transfer hr daily so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-113,OP Billing Management,In Progress,P1,Critical,06-06-2022,25-12-2023
Billing Execution View Op,Health Care,"As a user, I want to billing execution view op so that the related functionality works as expected.","Given valid billing records, when the user initiates a billing or refund action, then the system should process and update the records accurately.",HC-110,OP Billing Management,Done,P4,Low,21-01-2022,08-08-2023
Masters Others Derive Service,Health Care,"As a user, I want to masters others derive service so that the related functionality works as expected.","Given the system is operational, when the user performs the intended action, then the system should respond accurately and meet functional expectations.",HC-244,Laboratory Management,In Progress,P1,Critical,04-01-2022,31-12-2023
